"{Michael Moore (@MMFlint) to @donlemon: Donald Trump's ""presidency has to be opposed right now"" }",796924383818301440
"{""That's unacceptable"": CNN's @wolfblitzer rebukes Donald Trump for breach in press protocol }",796923031306305536
{Demonstrations erupted in the streets of L.A. over Donald Trump's presidential election victory. Watch on Facebook: },796920401767104512
"{With President-elect Donald Trump visiting President Obama at the White House, scores of protesters gathered outsid… }",796907561966567424
"{Now that Donald Trump has won the presidency, can he continue to use Trump Force One? }",796898998086942720
{How did Donald Trump win? Here are 24 theories },796889182891376640
{Russian officials say they had contact with the Trump and Clinton campaigns },796888311184945153
"{Protesters walk through the streets of Denver, Colorado, in response to Donald Trump's 2016 election victory }",796887310172352512
{Melania Trump and Michelle Obama sit down for tea in the White House },796886031756890117
{.@NAACP president: Donald Trump's election victory benefited from voter suppression },796881757756858368
"{There were reports of hateful acts and racist, pro-Trump graffiti after Donald Trump's election win… }",796878866203680768
"{Woman who took photo with Clinton after concession: ""She couldn't have seemed any nicer or ... kinder and gracious"" }",796875362172997632
{RT @CNNPolitics: Reince Priebus: Trump has made clear the Muslim ban is no longer his position },796874863722070016
{.@NAACP president: It’s absolutely not a free and fair election; the election system that delivered Trump is broken },796869316079665152
{Why it's difficult to predict what Trump will actually do as president },796867542400847873
"{Donald Trump is strongly considering campaign CEO Steve Bannon for White House chief of staff, a source tells CNN… }",796862647505453056
{NFL Commissioner Roger Goodell says he's struggling to explain Donald Trump's victory to the women in his family… },796861984390123520
"{“Here’s a good rule: Don’t answer the questions when they just start yelling,"" Obama advises Trump of WH reporters… }",796860912732934144
{The FAA has imposed temporary flight restrictions over the residences of President-elect Donald Trump and Mike Penc… },796859235170680832
{Here's how Hillary Clinton spent the morning after her concession to Donald Trump },796858353196601345
{Pre-election polls underestimated support for Donald Trump — and now experts want to know why… },796856718881943553
{RT @CNNSitRoom: Woman runs into Hillary Clinton taking a walk in the woods },796854669729550337
{Reince Priebus says he doesn't know what his role in President-elect Donald Trump's administration could be… },796854204413472772
{Barron Trump will be the first son in the White House since JFK Jr. },796850907614941184
{Bernie Sanders on the election outcome he expected: I thought Clinton was going to win },796844429743194116
"{Sanders on Trump: ""If he is going to resort to bigotry, trying to divide us up, we will oppose him tooth and nail"" }",796841631077040129
"{Bernie Sanders: If Trump is serious about his policy positions, I hope we can work together }",796841245041491969
"{.@SenSanders: I will vigorously oppose Trump if he appeals to racism, sexism, or other discriminatory measures }",796839280970792961
{Bernie Sanders: I would have loved the opportunity to run against Trump },796839219415183372
{.@SenFranken: I hope that President-elect Trump informs himself about how healthcare works in this country },796828283304288256
"{.@Reince: ""We’re proud of where we took the party,"" and we're proud of Donald Trump }",796824845250134016
"{.@Reince: I hope everyone has seen this ""presidential Donald Trump"" that we knew all along }",796824509038919680
"{Ohio Gov. John Kasich: I said my prayers today for ""the success of Donald Trump"" }",796820225429831680
{We're with high school students in San Francisco who walked out of school to protest Trump. Watch live on Facebook:… },796819487072849921
{How Gary Johnson and Jill Stein helped elect Donald Trump  },796818455626399744
"{Protester in San Francisco says Trump is wrong about immigrants: ""We are a working class"" }",796812082825949184
"{Elizabeth Warren pledges to work with Trump on economic issues: ""The truth is that people have a right to be angry""… }",796808405801455616
"{RT @CNNPolitics: Donald Trump meets with GOP leaders: ""We're going to do some absolutely spectacular things for the American people"" https:…}",796795335469400064
{President-elect Donald Trump talks with Speaker Paul Ryan in meeting with GOP leaders },796794952906784768
{Paul Ryan shows Donald and Melania Trump the view from the Speaker’s Balcony — including where he will be sworn in  },796791961143234560
{Repealing Obamacare won't be that easy. Replacing it will be even tougher },796784996564533248
{Pre-election polls underestimated support for Donald Trump — and now experts want to know why… },796783634879565824
{President-elect Donald Trump will receive two different sets of intelligence briefings },796781470291546116
{What would Jackie Kennedy say about Melania Trump? },796779460779474945
{President-elect Donald Trump will receive two different sets of intelligence briefings },796777196325076992
"{“Here’s a good rule: Don’t answer the questions when they just start yelling,"" Obama advises Trump of WH reporters… }",796775207616860160
{President-elect Trump says he looks forward to working with Obama at White House meeting },796773595347226625
"{President Obama says that if Trump succeeds, America succeeds, during White House meeting }",796772896639041536
"{JUST IN: President Obama, President-elect Trump meet in the White House Oval Office  }",796772010638639104
"{What President-elect Donald Trump's first 100 days will look like, according to one GOP senator… }",796760888149676033
{Want to flee Trump? This Swede will marry any American who wants to leave the US (and take up Swedish citizenship)… },796755913768050688
{Aaron Sorkin writes emotional open letter to 15-year-old daughter after Trump elected president… },796750266825605120
"{Trump arrives at White House for Obama meeting, marking a new beginning }",796747194565095430
"{Lock her up? Maybe not so much, Trump insiders say }",796745490071166976
"{RT @CNNPolitics: Donald Trump doesn't need Congress to start building a wall, Rudy Giuliani says }",796744287346184192
{President-elect Donald Trump deplanes after arriving at D.C.-area airport for White House meeting… },796742563248111616
"{The moment 5 college students, locked in a room during Election night, learn that Trump won }",796739953770328070
"{President-elect Donald Trump arrives in Washington, D.C. Watch live: }",796737586102464512
"{Stock market nears all-time highs after Trump election, a reaction few expected }",796731644581445632
"{What to expect in Donald Trump's America, based on campaign promises }",796729632498286596
"{Young girl leads protesters in anti-Trump chant: ""Love is love, and love trumps hate."" }",796722554387963904
{Pre-election polls underestimated support for Donald Trump — and now experts want to know why… },796719819634655233
{Here's a look at who might be included in a Trump Cabinet and inner White House circle },796718052599615488
"{Donald Trump's friend and fundraiser says the President-elect is going to ""build a wall of understanding"" }",796714779423477760
{Protesters burned an effigy of Donald Trump in Los Angeles as demonstrations took place overnight across the US… },796711294997004289
"{""People will finally know that Slovenia is not Slovakia."" Residents of Melania Trump's hometown react to Trump's win }",796707985842196485
{They're calling it #Calexit: Some Californians want to secede after Trump's victory },796704209961881601
{Here's how the exit poll data explains Donald Trump's victory },796701190264356864
"{Trump is the only man ever to win the presidency with no political, diplomatic or military executive experience }",796695653976076289
"{""He's going to screw us all."" Mexico reacts to Donald Trump's victory }",796692381844307968
{Here's what Donald Trump thinks of other countries around the world },796684087008305152
{Former Democratic National Committee chairman says Hillary Clinton should probably have run for president in 2008 },796681560716091392
"{Donald Trump's victory was secured by a combination of many small victories across gender, race and age lines }",796678659990024192
"{Trump's foreign policy is likely to be unpredictable, but he's not going to blow up the world, writes one columnist }",796676024247451648
{These are the tasks Donald Trump will have to complete between now and his inauguration on January 20 },796674766996381696
"{For American Muslims: Shock, fear and resolve }",796674746964447232
{Melania Trump will become just the second foreign-born first lady in US history },796673125828198400
{One of Melania Trump's priorities as first lady will be fighting cyber bullying },796663189547216896
"{""It felt personal, like the election was a vote against me."" American Muslims react to Trump's victory: }",796655640034902020
{Protesters in Los Angeles burned an effigy of Donald Trump },796653358698401792
"{Controversial Philippines President Rodrigo Duterte says he and Donald Trump ""both like to swear"" }",796645824872718336
{What Donald Trump's presidency could mean for Silicon Valley },796630353624571904
{Protests erupt in several US cities after Donald Trump’s presidential win },796627349513105408
{Philippines President Duterte moves to bury the hatchet with the US after Trump’s election to the White House… },796604557547732992
{Protesters take to the streets in several cities after Donald Trump's US presidential win },796601165077213184
"{Now that he's president-elect, Donald Trump will receive the same security briefings as President Obama… }",796597246796173312
"{.@JeffreyToobin on anti-Trump protests: Trump ""doesn't care. He won."" }",796571363884601344
"{Hillary Clinton supporter on the anti-Trump protests: ""This is not helping"" }",796567037329940480
{Joe Biden: The Trump administration will stand with Israel },796564545435209728
{Inside Donald Trump's America: What the newly minted US President-elect has promised },796563287668391936
"{""You need to back off"": Van Jones, Trump supporter clash }",796557568357306368
"{American Muslims express shock, fear and resolve after US presidential election }",796554480129114112
{The scene as anti-Trump protesters gather in downtown Chicago },796550694719229952
"{Ohio Trump voter: ""I'm not an angry, white, old man... [Trump] came along at the time where people were just fed up"" }",796549702053457925
{Reporter's notebook: The Donald Trump victory we didn't see coming },796549309143584769
{Mexico is stunned by Donald Trump's US presidential election win },796548090740297729
{New York protester on Donald Trump: I came to the US to get away from people like that },796543474711437313
"{State-by-state, this is how Donald Trump won }",796538798192660481
"{NY protester: I'll respect Trump as president, but ""I’m going to fight every single day to make sure he’s one-term” }",796536429471899648
"{Rep. Chris Collins: I could be a ""go-between” for Donald Trump and Paul Ryan }",796529182855532544
{Protesters take to the streets in several cities after Donald Trump's US presidential win },796525043836682240
{Who could be in the Donald Trump administration? },796523650425962496
{Protesters gather near Trump Tower in New York over election results },796519335925719040
"{Ed Rendell: ""This was not the time"" Hillary Clinton should have run for president }",796517986546970625
"{.@secupp on why Democrats have agreed to work with Trump: ""At the end of the day, the country still needs running"" }",796516107414802432
"{""Well, I may have to start packing"" Ruline Steininger, a 103-year-old Clinton supporter, reacts to election result… }",796511317494558720
