status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150947594879999,"Bill Cornwell and Tom Doyle lived in a brownstone in the West Village for over 5 decades. Bill died 2 years ago at age 88. Now, his will, in which he gave the small apartment building to Tom, is in dispute.",A Brownstone and the Bitter Fight to Inherit It,link,http://www.nytimes.com/2016/10/24/nyregion/a-brownstone-and-the-bitter-fight-to-inherit-it.html?smid=fb-nytimes&smtyp=cur,2016-10-30 19:55:00,432,210,244
5281959998_10150948028669999,No chain saws here. (via NYT Watching),Good Halloween Movies — Without the Gore,link,http://www.nytimes.com/2016/10/28/watching/halloween-movies-no-gore.html?smid=fb-nytimes&smtyp=cur,2016-10-30 19:10:00,481,55,60
5281959998_10150947715954999,"It was 1945 and Frank Colletti was 11, deemed too young to go to the World Series: the Chicago Cubs vs. the Detroit Tigers. One of his brothers, Ned, then 15, told him, ""We promise to take you to the next one.""

Promise fulfilled.",World Series Ticket to Wrigley Fulfills a 71-Year-Old Promise by Brothers,link,http://www.nytimes.com/2016/10/31/sports/baseball/world-series-ticket-to-wrigley-fulfills-a-71-year-old-promise-by-brothers.html?smid=fb-nytimes&smtyp=cur,2016-10-30 18:55:00,8146,124,1008
5281959998_10150947979289999,"Breaking News: The United States Department of Justice has received a search warrant to review emails of Huma Abedin, a top Hillary Clinton aide. The emails were found on the computer of her husband, Anthony Weiner. Investigators hope to review as many emails as possible before Election Day.",Justice Department Obtains Warrant to Review Clinton Aide’s Emails,link,http://www.nytimes.com/2016/10/31/us/politics/justice-department-warrant-clinton-abedin-fbi.html?smid=fb-nytimes&smtyp=cur,2016-10-30 18:07:15,549,392,288
5281959998_10150945201649999,The most vibrant Funfetti cake imaginable. (via The New York Times Food),Rainbow Sprinkle Cake Recipe,link,http://cooking.nytimes.com/recipes/1018364-rainbow-sprinkle-cake?smid=fb-nytimes&smtyp=cur,2016-10-30 17:55:00,552,106,190
5281959998_10150947912874999,"Update: The United States Department of Justice has received a search warrant to review emails of Huma Abedin, a top Hillary Clinton aide, that were found on her husband's computer.",Justice Department Obtains Warrant to Review Clinton Aide’s Emails,link,http://www.nytimes.com/2016/10/31/us/politics/justice-department-warrant-clinton-abedin-fbi.html?smid=fb-nytimes&smtyp=cur,2016-10-30 17:05:24,495,280,156
5281959998_10150943479269999,3 simple tips for the next time you hit the road.,"Before You Take a Road Trip, Do This",link,http://www.nytimes.com/2016/10/25/travel/road-trip-car-tips-flat-tire.html?smid=fb-nytimes&smtyp=cur,2016-10-30 16:55:00,96,11,26
5281959998_10150945469989999,"“The feeling of sensual joy — just being alive — is really in those pictures,” said the director Rebecca Miller, Inge Morath's daughter.",What Inge Morath Saw: A Unique Sense of Style,link,http://lens.blogs.nytimes.com/2016/10/26/what-inge-morath-saw-a-unique-sense-of-style/?smid=fb-nytimes&smtyp=cur,2016-10-30 16:25:00,129,8,8
5281959998_10150945300489999,"He has absorbed enough personal history, American history, African-American history and art history to become one of the great history painters of our time.",Kerry James Marshall’s Paintings Show What It Means to Be Black in America,link,http://www.nytimes.com/2016/10/21/arts/design/kerry-james-marshalls-paintings-show-what-it-means-to-be-black-in-america.html?smid=fb-nytimes&smtyp=cur,2016-10-30 15:55:00,298,15,86
5281959998_10150947834989999,"3 ""baseline dangers"" for a Donald J. Trump administration.

Read on in The New York Times Opinion Section.",The Dangers of Donald Trump,link,http://www.nytimes.com/2016/10/30/opinion/sunday/the-dangers-of-donald-trump.html?smid=fb-nytimes&smtyp=cur,2016-10-30 15:40:10,2014,305,986
